index,name,base_name,Label Name,network,component,hemisphere,beta1,intercept,pval,adj_r2,quad_beta2,quad_beta1,quad_intercept,quad_pval,quad_adj_r2,f_statistic,pval_quad_vs_linear,pval_adj,quad_pval_adj,pval_quad_vs_linear_adj
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.0010754120942910146,0.00025282026814826136,2.2457573523322147e-07,0.4192725393686295,5.188739247576024e-05,-0.0032210580218667312,0.07727019003649283,8.674817015074764e-12,0.6473158882124299,32.03650087615943,8.766767303481819e-07,1.0511070494420881e-06,6.456339221055645e-11,5.378530210514521e-06
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.0016120068483558843,-0.022658472965903745,1.273009710928389e-08,0.4833843047258547,9.34275282810289e-05,-0.006124141840816456,0.1160176514033048,5.862058628577245e-22,0.8697999968440271,143.45739456283115,6.939213686366098e-16,1.1332282524735071e-07,2.661374617374069e-19,3.1504030136102085e-13
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.0007220329491377207,0.013022904707636868,1.2808846529316527e-06,0.3767831130765975,2.452896270658803e-05,-0.0013090568825287387,0.049431675714770695,1.180580551779423e-07,0.47119715796403905,9.570063914839944,0.0033251340207642757,4.213924872688191e-06,2.447413563962822e-07,0.005509528632945186
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.0018741400505400078,-0.025990645444312777,1.3925999007330322e-10,0.5706579847160294,5.147614016075726e-05,-0.0023882768361663635,0.050416295275637395,2.3759101211914046e-12,0.6662258562158767,14.743598530387057,0.0003674163763616954,5.055286092157695e-09,2.2472149896268703e-11,0.0007686960132175563
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.001864431096484412,-0.023740930606315783,5.133355150254351e-11,0.5879142696021964,5.344575240634261e-05,-0.002561077048999878,0.05558954023107804,2.5393441907604435e-13,0.6965208023276384,18.17782836782551,9.621748746465797e-05,3.3861462870874406e-09,3.718910524533036e-12,0.0002454086478031164
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.0014340785140091348,-0.014128058077358951,2.0063282289643822e-06,0.3653705846627452,7.010445534489718e-05,-0.004370832525596018,0.0899292186923047,9.968128578408412e-10,0.5684208013678167,23.58313290523041,1.3653801993801067e-05,6.1132417177840906e-06,3.802966701342369e-09,4.842832894676316e-05
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.0013589524230230886,-0.003958143121506531,1.1044011433520096e-08,0.4863750433070073,4.555217004451149e-05,-0.0024129375869404975,0.06365574450461783,9.693378449241694e-11,0.6091673993863557,16.080709957548407,0.00021584884989005654,1.0445794147537758e-07,5.11720211157643e-10,0.0004930382874014321
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.0013398799444109008,-0.0028733399795211265,1.8748713136541657e-06,0.3671063041517475,5.567605201437102e-05,-0.0032703053482329575,0.07976760381497774,1.894052277084626e-08,0.5108110894401157,15.100543869539063,0.0003183512529075677,5.751294435128319e-06,4.698905649160766e-08,0.0006831428859733588
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.0013063913493044626,-0.011946703678059972,1.5054536511265778e-06,0.37269692668530785,8.100752268161597e-05,-0.0054013344349142615,0.10829418781214498,6.097603214902219e-14,0.7143958134133945,58.42754249848726,8.704795225941715e-10,4.813210969094833e-06,1.153463274819003e-12,4.39108559175282e-08
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.0008559339512272217,0.006937851041397575,0.00016237410369645533,0.24324605875886762,3.7836710474387806e-05,-0.002277087156412052,0.06309954625059641,1.6067324778374896e-05,0.3482278175118202,8.731419897217103,0.004875356562797235,0.00027506657864996537,2.3530856288329688e-05,0.007766357471964718
