index,name,base_name,Label Name,network,component,hemisphere,beta1,intercept,pval,adj_r2,quad_beta2,quad_beta1,quad_intercept,quad_pval,quad_adj_r2,f_statistic,pval_quad_vs_linear,pval_adj,quad_pval_adj,pval_quad_vs_linear_adj
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.0007090736615026258,0.2000292482368662,0.3064718468100914,0.0013953479379683609,1.5865399322096275e-06,-0.0008406569823999881,0.20238922225390235,0.5957346615832837,-0.01982582119273335,0.0011861858112611695,0.9726713081911599,0.3613979700046272,0.619116807873711,0.9835028372356048
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.0002847015433523996,0.19759496788971154,0.5997491530364476,-0.014932676779388476,7.163158629502873e-05,-0.006225631118771519,0.3041467659398942,0.11288537814281636,0.049865840189842636,4.273568035007354,0.04424098132143464,0.6467603693077131,0.15386915780311403,0.1969157403914836
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.0009314112771399196,0.21221519730226868,0.1358187974247811,0.025871488705832113,2.0211770929989565e-05,-0.0026077207643403115,0.24228015391929494,0.29493510018052044,0.01023204094616792,0.2415459748954674,0.6253791851716934,0.1835170655680078,0.34158299867845987,0.8020399719433583
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.001516087575293027,0.2823186472607656,0.012978605284371121,0.10353503202543834,7.100323972255374e-05,-0.007404903789426879,0.38793578142091373,0.008818340931168145,0.14755203803755468,3.4785281716406597,0.06841995187602623,0.02465391966152506,0.01763668186233629,0.2505053076751283
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.0008666734699553829,0.2663721816323349,0.11897802466607149,0.030086798950822113,2.4704766506672627e-05,-0.0029156198298588894,0.3031204574677198,0.2391703142360984,0.01901981797283192,0.45848540401113763,0.5016520440260479,0.16409494566608324,0.28499559754117765,0.7161950565654898
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.0013783351634230365,0.21413070390801936,0.05136937038341553,0.05756700985905494,9.097998988282278e-05,-0.008923968879253582,0.34946320190234315,0.02043270754843919,0.116519033983846,4.202895440690499,0.0459564494359135,0.08014327887996787,0.03474728584140141,0.2006175773452378
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.0018200882958021077,0.18286721151057084,0.00227306283621553,0.16091047746723208,-5.7646126794726936e-05,0.0029609251829811056,0.09711874804211333,0.0030485670555181585,0.18522355179750616,2.432328549048989,0.12556515517996572,0.005548228643235756,0.007000500541333184,0.35103068026121687
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.000937076336842486,0.27209778227854464,0.03031905091531465,0.07515295260647858,-4.7038689357651345e-05,0.002964185037474176,0.20212785437078323,0.023394887436584036,0.11141472119722429,2.9588045558226312,0.09199011467615678,0.05294172736751097,0.03890578350259763,0.2801911887856849
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.0009140795309939172,0.19734796868723808,0.13745310846175923,0.02549288472385558,-1.7919962996251225e-05,0.0005721536192306951,0.1706920704026596,0.3045741360143934,0.008876639756745686,0.1952770054521598,0.6605871055552399,0.18462636462023282,0.35009419371893113,0.8271409950527042
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.002514085758536173,0.23410129118475298,3.843201173893132e-05,0.28540173014027626,6.269727255775616e-05,-0.007714027573343338,0.3273633208200647,5.304379299425195e-05,0.3142469019177274,3.0190477435532515,0.08884120967961416,0.00016939935271334777,0.00024081882019390385,0.2781648909968609
