index,name,base_name,Label Name,network,component,hemisphere,beta1,intercept,pval,adj_r2,quad_beta2,quad_beta1,quad_intercept,quad_pval,quad_adj_r2,f_statistic,pval_quad_vs_linear,pval_adj,quad_pval_adj,pval_quad_vs_linear_adj
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.19594870472720483,113.8302091087324,0.46333770187532786,-0.00934086182898719,0.014154114081885147,-1.3625356741677654,134.67512604302914,0.5577946708375284,-0.016974110392769415,0.6397195097522895,0.427836492816113,0.5685678844579376,0.6131689601942807,0.5855298582149562
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.38337558844541375,105.612101772398,0.08055779869320084,0.04272071616364548,0.01447811212865216,-0.809915411872387,126.93417413533291,0.13279348860992515,0.043276160622950144,1.0278673248740107,0.31585104769354455,0.147472744381908,0.186074826632426,0.49618123063276554
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.22200644998760422,115.45725417722322,0.28378059661822913,0.00355977109517569,0.009051568761229867,-0.9680398724085926,128.78759741604068,0.45588625585251974,-0.008280753758021842,0.4363224817738899,0.5121274937619316,0.40011301510768954,0.5187277196918395,0.6662059660971832
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.3012049362468914,149.53844768163196,0.27107609510306835,0.004867760295130696,0.0345211456385202,-3.1464496784521954,200.37811232957176,0.08424405350599742,0.06162487165295949,3.903254000321544,0.05408043777686678,0.3857948187360283,0.12581184306487772,0.14274720203893906
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.058617920572503035,139.3606117478452,0.7687567614962999,-0.01897749348279376,0.008109231648926976,-0.7269835928486907,151.3031649267255,0.7956173371327895,-0.03245913344362372,0.37322582835655327,0.5441945238386893,0.8389797349022119,0.8303684392144516,0.6920569014643275
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.6352838389555886,120.1477893344848,0.014281953174849964,0.10033938010837196,0.04948065822847619,-4.713496773706422,193.01849001274002,0.0004232434389160927,0.2508843496127856,10.646252260884804,0.002058592395562588,0.03412635127043097,0.0013251898018476283,0.016686607710275053
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.8902444959039807,119.73086005360798,0.0005005179388671569,0.20890373768769765,-0.0012457642763944246,-0.7875681741342859,117.89620952649389,0.002492519809350229,0.19217574881388322,0.006041889972803267,0.9383731266559807,0.0018034535257594384,0.006735738056220262,0.958239481376407
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.22405844258668184,150.57676242024706,0.3008574380314613,0.001911709862063793,-0.002701229527432819,-0.0014221723163485578,146.5986324720168,0.5786129900131118,-0.018561087881810323,0.035213200860093906,0.8519574086013857,0.4189855118597651,0.6299527517169131,0.9209253892976884
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.024563749291847792,102.11751461506776,0.9080639498548584,-0.02054678590422876,0.02647718912682538,-2.206822818568342,141.11075748490606,0.1642090955132707,0.034592053489999275,3.74149834843475,0.05910982526963159,0.9348322749072692,0.2227238717059869,0.15334777527092996
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.831980587710651,120.16307222188888,0.0026908597907070037,0.15544039515138253,0.051931177059748417,-5.112166130594527,196.64267849383108,9.83018598412637e-05,0.29600603817183035,10.584103317392286,0.0021156809381168173,0.007932794447928439,0.00038807864667768447,0.016686607710275053
11,7Networks_LH_Vis_11,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.5556404644215351,74.44667415365353,0.021686904507027135,0.08636719364465806,0.012872787898721622,-0.5053391586154392,93.40456815601249,0.052647062333730794,0.08021015342368865,0.6786897227593949,0.4141993259905984,0.049726538617122826,0.08536345106969206,0.5733124817064991
12,7Networks_LH_Vis_12,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.05420186391847914,113.77260749372704,0.8149651384736618,-0.01965704719934913,-0.05257822345492742,4.387717194090566,36.34008899554959,0.00130346198312269,0.21415580289653435,15.281478244630692,0.0002961528079484717,0.8702896132582264,0.0037453907616310208,0.0036338749948271933
